Week No,  Sales ,Forecast,,,,,,,
1, 356.00 ,443.3113723,,,,,,,
2, 341.00 ,404.4294921,,,,,,,
3, 413.00 ,404.2897514,,,,,,,
4, 435.00 ,441.5021008,,,,,,,
5, 456.00 ,439.6017083,,,,,,,
6, 401.00 ,451.3185618,,,,,,,
7, 365.00 ,418.1886106,,,,,,,
8, 430.00 ,411.2704175,,,,,,,
9, 435.00 ,447.9165121,,,,,,,
10, 396.00 ,437.2789042,,,,,,,
11, 391.00 ,420.6439002,,,,,,,
12, 361.00 ,424.0385661,,,,,,,
13, 478.00 ,407.0519961,,,,,,,
14, 472.00 ,474.6559671,,,,,,,
15, 387.00 ,447.0353772,,,,,,,
16, 378.00 ,412.3852152,,,,,,,
17, 440.00 ,420.1993514,,,,,,,
18, 378.00 ,449.9373443,,,,,,,
19, 384.00 ,406.6074938,,,,,,,
20, 388.00 ,425.4421534,,,,,,,
21, 438.00 ,420.7260674,,,,,,,
22, 453.00 ,448.6961758,,,,,,,
23, 410.00 ,446.4514374,,,,,,,
24, 467.00 ,424.6776136,,,,,,,
25, 446.00 ,462.4985481,,,,,,,
26, 466.00 ,437.7788793,,,,,,,
27, 425.00 ,457.2313295,,,,,,,
28, 378.00 ,428.654812,,,,,,,
29, 382.00 ,414.3106295,,,,,,,
30, 437.00 ,421.6035057,,,,,,,
31, 472.00 ,447.8533274,,,,,,,
32, 473.00 ,456.7364959,,,,,,,
33, 418.00 ,454.0465279,,,,,,,
34, 404.00 ,426.1307001,,,,,,,
35, 469.00 ,428.8810546,,,,,,,
36, 461.00 ,462.0276533,,,,,,,
37, 475.00 ,445.8282594,,,,,,,
38, 412.00 ,459.0452502,,,,,,,
39, 383.00 ,421.169854,,,,,,,
40, 450.00 ,419.6460969,,,,,,,
41, 466.00 ,455.3902204,,,,,,,
42, 507.00 ,450.8569681,,,,,,,
43, 403.00 ,474.0335357,,,,,,,
44, 429.00 ,411.0175333,,,,,,,
45, 497.00 ,447.4827798,,,,,,,
46, 503.00 ,470.0021833,,,,,,,
47, 480.00 ,465.0029431,,,,,,,
48, 449.00 ,454.7313565,,,,,,,
49, 414.00 ,442.1659745,,,,,,,
50, 407.00 ,428.3297725,,,,,,,
51, 476.00 ,429.6608966,,,,,,,
52, 462.00 ,465.4222316,,,,,,,
53, 491.00 ,445.1248668,,,,,,,
54, 430.00 ,467.7040449,,,,,,,
55, 434.00 ,427.4905643,,,,,,,
56, 465.00 ,444.1467395,,,,,,,
57, 496.00 ,454.4012426,,,,,,,
58, 503.00 ,466.9728079,,,,,,,
59, 498.00 ,466.0994146,,,,,,,
60, 490.00 ,463.7892223,,,,,,,
61, 426.00 ,460.423286,,,,,,,
62, 481.00 ,428.0247576,,,,,,,
63, 464.00 ,468.64074,,,,,,,
64, 494.00 ,445.0104648,,,,,,,
65, 452.00 ,469.3212405,,,,,,,
66, 403.00 ,438.4610069,,,,,,,
67, 477.00 ,423.8928818,,,,,,,
68, 490.00 ,468.0352065,,,,,,,
69, 468.00 ,458.8864673,,,,,,,
70, 494.00 ,450.6420397,,,,,,,
71, 412.00 ,467.2829123,,,,,,,
72, 413.00 ,418.188262,,,,,,,
73, 430.00 ,436.4831563,,,,,,,
74, 481.00 ,438.7908523,,,,,,,
75, 514.00 ,464.7439909,,,,,,,
76, 477.00 ,472.6840172,,,,,,,
77, 429.00 ,450.3754311,,,,,,,
78, 424.00 ,433.2373307,,,,,,,
79, 398.00 ,436.8140905,,,,,,,
80, 409.00 ,421.8626634,,,,,,,
81, 470.00 ,433.0521689,,,,,,,
82, 484.00 ,461.0431963,,,,,,,
83, 457.00 ,458.2656236,,,,,,,
84, 428.00 ,445.0888614,,,,,,,
85, 443.00 ,434.6255228,,,,,,,
86, 471.00 ,446.2916319,,,,,,,
87, 462.00 ,456.7764832,,,,,,,
88, 421.00 ,448.2541642,,,,,,,
89, 476.00 ,429.8030135,,,,,,,
90, 457.00 ,465.3707929,,,,,,,
91, 494.00 ,442.517171,,,,,,,
92, 446.00 ,470.2236792,,,,,,,
93, 425.00 ,434.9827959,,,,,,,
94, 471.00 ,436.7075885,,,,,,,
95, 467.00 ,460.2453931,,,,,,,
96, 479.00 ,449.6249186,,,,,,,
97, 429.00 ,459.7721142,,,,,,,
98, 446.00 ,429.8362352,,,,,,,
99, 493.00 ,449.6008856,,,,,,,
100, 488.00 ,467.1344915,,,,,,,
,,,,,,,,,
